Small unit postcode,Jul 2025 - Installation Quantity,Aug 2025 - Installation Quantity,Sep 2025 - Installation Quantity,Oct 2025 - Installation Quantity,Nov 2025 - Installation Quantity,Dec 2025 - Installation Quantity,Jan 2026 - Installation Quantity,Feb 2026 - Installation Quantity,Mar 2026 - Installation Quantity,Apr 2026 - Installation Quantity,May 2026 - Installation Quantity,Total Installation Quantity
2043,3,5,8,2,1,6,3,3,5,6,0,42
2044,8,3,13,6,8,9,11,9,8,9,4,88
2045,10,5,13,15,16,17,5,16,20,29,5,151
2046,16,18,16,26,33,38,23,33,42,73,6,324
2047,4,10,12,8,10,7,3,13,14,23,3,107
2048,6,6,6,2,7,7,6,10,6,8,3,67
2049,7,10,10,8,6,9,8,13,8,15,1,95
2050,3,0,1,0,2,1,0,2,5,2,0,16
2060,4,2,5,5,1,7,2,2,7,13,1,49
2061,0,0,1,2,1,0,0,0,2,1,0,7
2062,9,7,3,6,4,4,1,7,9,10,4,64
2063,16,4,8,10,15,15,13,8,23,29,0,141
2064,8,5,6,5,9,8,3,5,10,12,3,74
2065,18,13,24,17,18,18,13,33,23,42,2,221
2066,40,32,38,48,42,48,27,47,66,98,13,499
2067,16,10,12,22,29,33,23,20,44,52,4,265
2068,20,22,25,33,24,42,14,38,36,60,8,322
2069,26,12,26,27,39,30,20,29,50,73,5,337
2070,24,12,20,30,26,38,16,24,45,66,2,303
2071,13,14,22,28,36,44,22,37,48,63,4,331
2072,14,9,9,12,14,9,11,11,21,31,2,143
2073,29,29,33,37,33,49,24,38,59,96,2,429
2074,43,41,36,49,65,79,45,56,77,121,7,619
2075,37,26,43,47,46,68,40,66,63,96,8,540
2076,25,23,38,44,61,62,42,74,85,140,4,598
2077,36,33,38,65,53,71,35,62,73,102,14,582
2079,13,17,15,21,19,20,22,21,29,33,6,216
2080,1,4,5,2,2,2,6,4,0,7,1,34
2081,9,11,9,21,17,22,10,11,27,22,5,164
2082,12,13,7,12,19,14,12,16,23,29,6,163
2083,4,1,3,3,4,4,1,5,8,6,1,40
2084,8,3,12,11,7,11,5,12,13,28,2,112
2085,25,17,25,27,27,29,30,33,44,59,7,323
2086,20,19,21,33,26,23,27,29,47,44,12,301
2087,24,19,31,28,30,29,29,32,57,77,5,361
2088,32,16,19,18,28,31,21,25,36,49,6,281
2089,0,4,1,0,6,0,2,2,3,7,1,26
2090,4,8,1,5,10,7,4,4,5,14,1,63
2092,11,8,18,16,17,21,18,14,24,20,4,171
2093,43,28,37,35,42,34,23,44,53,65,10,414
2094,8,4,12,10,5,12,7,7,9,6,1,81
2095,11,9,8,10,10,15,9,18,17,10,0,117
2096,18,12,21,11,18,15,18,22,25,46,13,219
2097,19,13,14,22,21,10,18,20,25,48,7,217
2099,36,24,38,47,36,35,36,35,53,72,12,424
2100,38,28,33,35,32,30,19,46,51,63,10,385
2101,26,16,21,30,21,21,20,24,28,58,8,273
2102,18,10,8,12,12,7,7,10,20,28,2,134
2103,18,12,21,10,19,16,21,25,25,30,10,207
2104,9,1,9,6,5,14,8,11,8,18,1,90
2105,2,2,1,1,3,1,1,2,10,11,1,35
2106,15,7,12,9,15,20,16,18,16,23,3,154
2107,26,20,24,26,20,28,8,20,26,33,8,239
2108,3,6,0,2,5,6,2,2,1,6,3,36
